[2026-04-24 00:00:54] [INFO] [API/UploadRecords] 收到同步请求, stationID=1, records=1
[2026-04-24 01:49:24] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:50:25] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:50:25] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:51:27] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:51:27] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:52:28] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:52:28] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:53:29] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:53:29] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:54:31] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:54:31] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:55:32] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:55:32] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:56:34] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:56:34] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:57:35] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:57:35] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:58:36] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:58:36] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:59:38] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:59:38] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:00:39] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 02:00:39] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:01:41] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 02:01:41] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:02:42] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 02:02:42] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:03:44] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 02:03:44] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:04:45] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 02:04:45] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:05:46] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 02:05:46] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:06:48] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 02:06:48] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:07:49] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 02:07:49] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:08:50] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 02:08:50] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:09:52] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 02:09:52] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:10:53] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 02:10:54] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:11:55] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 02:11:55] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:12:57] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 02:12:57] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:13:58] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 02:13:58] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:15:00] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 02:15:00] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:16:01] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 02:16:01] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:17:03] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 02:17:03] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:18:05] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 02:18:05] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:19:06] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 02:19:06] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:20:07] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 02:20:08] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:21:09] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 02:21:09] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:22:11] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 02:22:11] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:23:12] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 02:23:12] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:24:14] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 02:24:14] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:25:15] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 02:25:15] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 02:26:17] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
